physician_id,physician_name,service_date,start_time,end_time,hours_worked,payment_amount,payment_type,department,specialty,shift_type,is_on_call,notes
P001,Dr. Alice Johnson,2026-01-06,07:00:00,15:00:00,8,960.00,hourly,Emergency Medicine,Emergency Medicine,day,0,
P001,Dr. Alice Johnson,2026-01-07,07:00:00,15:00:00,8,960.00,hourly,Emergency Medicine,Emergency Medicine,day,0,
P001,Dr. Alice Johnson,2026-01-08,15:00:00,23:00:00,8,1080.00,hourly,Emergency Medicine,Emergency Medicine,evening,0,
P001,Dr. Alice Johnson,2026-01-09,23:00:00,07:00:00,8,1200.00,hourly,Emergency Medicine,Emergency Medicine,night,0,
P001,Dr. Alice Johnson,2026-01-14,07:00:00,15:00:00,8,960.00,hourly,Emergency Medicine,Emergency Medicine,day,0,
P001,Dr. Alice Johnson,2026-01-15,07:00:00,15:00:00,8,960.00,hourly,Emergency Medicine,Emergency Medicine,day,0,
P001,Dr. Alice Johnson,2026-01-20,00:00:00,12:00:00,12,1440.00,call_pay,Emergency Medicine,Emergency Medicine,on_call,1,Weekend on-call
P001,Dr. Alice Johnson,2026-01-28,07:00:00,15:00:00,8,960.00,hourly,Emergency Medicine,Emergency Medicine,day,0,
P001,Dr. Alice Johnson,2026-01-31,500.00,500.00,0,500.00,stipend,Emergency Medicine,Emergency Medicine,,0,Monthly admin stipend
P002,Dr. Brian Martinez,2026-01-06,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-07,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-08,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-09,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-12,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-13,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-14,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-15,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-16,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-19,08:00:00,17:00:00,9,1035.00,hourly,Internal Medicine,Internal Medicine,day,0,
P002,Dr. Brian Martinez,2026-01-31,1000.00,1000.00,0,1000.00,bonus,Internal Medicine,Internal Medicine,,0,Performance bonus
P003,Dr. Carol Chen,2026-01-05,07:30:00,16:30:00,9,1170.00,hourly,Surgery,General Surgery,day,0,
P003,Dr. Carol Chen,2026-01-06,07:30:00,16:30:00,9,1170.00,hourly,Surgery,General Surgery,day,0,
P003,Dr. Carol Chen,2026-01-07,07:30:00,16:30:00,9,1170.00,hourly,Surgery,General Surgery,day,0,
P003,Dr. Carol Chen,2026-01-12,07:30:00,16:30:00,9,1170.00,hourly,Surgery,General Surgery,day,0,
P003,Dr. Carol Chen,2026-01-13,07:30:00,16:30:00,9,1170.00,hourly,Surgery,General Surgery,day,0,
P003,Dr. Carol Chen,2026-01-14,07:30:00,20:30:00,13,1690.00,hourly,Surgery,General Surgery,day,0,Extended procedure
P003,Dr. Carol Chen,2026-01-19,07:30:00,16:30:00,9,1170.00,hourly,Surgery,General Surgery,day,0,
P003,Dr. Carol Chen,2026-01-21,00:00:00,08:00:00,8,1360.00,call_pay,Surgery,General Surgery,on_call,1,
P003,Dr. Carol Chen,2026-01-26,07:30:00,16:30:00,9,1170.00,hourly,Surgery,General Surgery,day,0,
P003,Dr. Carol Chen,2026-01-31,600.00,600.00,0,600.00,stipend,Surgery,General Surgery,,0,CME stipend
P004,Dr. David Kim,2026-01-05,07:00:00,19:00:00,12,1440.00,hourly,Pediatrics,Pediatrics,day,0,
P004,Dr. David Kim,2026-01-07,07:00:00,19:00:00,12,1440.00,hourly,Pediatrics,Pediatrics,day,0,
